GEOID,nJobs
421010091003013,59
421010091002013,4
421010091002014,731
421010091002015,12660
421010091001000,25
421010091001002,8
421010091001003,6
421010091002001,6
421010091002003,27
421010091002007,11
421010091002008,6
421010091003000,52
421010091003001,179
421010108004007,37
421010108003013,1
421010108003015,1
421010108003016,8
421010109001007,3
421010108003009,1
421010108003010,3
421010108004000,3
421010108005005,2
421010033002021,448
421010369002007,24
421010369002011,66
421010369002005,35
421010369001018,337
421010369002002,13013
421010369002003,227
421010369001011,11
421010369001012,17
421010369001013,478
421010369001015,77
421010369003016,574
421010369003021,350
421010369003022,24320
421010369001016,1246
421010369003011,196
421010369003012,240
421010090004001,26
421010090004003,14
421010090004005,197
421010091002012,20
421010090001003,25
421010090001005,6
421010090002000,20
421010090002002,26
421010090002003,10
421010090002005,12
421010090004002,44
421010091002000,6
421010091002005,51
421010091002006,1
421010090001000,8
421010090001001,8
421010090003003,39
421010109002001,4
421010109002002,8
421010109002004,1
421010109002006,2
421010109003001,16
421010109003002,2
421010109003005,7
421010109003009,47
421010109001009,4
421010109001010,4
421010033002003,106
421010033002004,109
421010033002036,18
421010013005032,2
421010369001019,2
421010369002000,28
421010369002001,50
421010369001009,19
421010369003017,44
421010369003020,421
421010369003009,10
421010369003010,1
421010369003019,2643
421019800001220,6
421010090004006,82
421010090004007,13
421019800001211,27
421010090003009,47
421010090003015,79
421010090003000,3
421010090003001,9
421010090003005,2
421010090003006,1
421010090003008,17
421010109002000,2
421010109003000,52
421010013005009,183
421010013005016,8
421010013005006,5
421010013005020,4
421010013005012,31
421010013005017,1
421010012011002,1
421010012011005,20
421010012011006,5
421010369001001,18
421010369001005,7
421010369003030,359
421010369003031,16
421010369003005,40
421010369003006,29
421010369003007,209
421019800001202,15
421019800001216,42
421019800001219,501
421019800001230,242
421019800001217,3
421019800001199,2046
421019800001206,40
421019800001168,52
421010013005002,19
421010013005003,1
421010008011012,1
421010012011009,3
421010012011010,1
421010012011011,2
421010012011012,1
421010012011013,5
421010012011014,1
421010012011015,153
421010012011016,6
421010012011017,5
421010012012003,19
421010012012004,5
421010012014003,1
421010012014007,7
421010012014008,4
421010007003001,66
421010007003003,494
421010007003006,4
421010007003007,2
421010007003008,44
421010007003009,10
421010007003010,29
421010008011000,39
421010008011001,13
421010008011002,32
421010008011003,3
421010008011006,9
421010008011007,85
421010008011008,9
421010008011009,5
421010008011011,3
421010004011014,1312
421010004011020,15
421010004011021,446
421010004011022,1392
421010004011026,109
421010004011031,332
421010007003002,104
421010003002007,23
421010003002023,6
421010003002024,1
421010003002025,154
421010004011002,94
421010003002005,51
421010003002011,78
421010003002021,2
421010003002022,60
421010003002004,5
421010125003020,131
421010125003011,2
421010125003000,1
